bucket,Time,Scrubber.length
1,1,11
2,1,8
3,1,6
4,1,9
5,1,6
6,1,6
7,1,6
8,1,6
9,1,4
10,1,6
11,1,6
12,1,5
13,1,5
14,1,7
15,1,6
16,1,5
17,1,6
18,1,5
19,1,8
20,1,7
21,1,8
22,1,7
23,1,12
24,1,5
25,1,7
26,1,6
27,1,5
28,1,5
29,1,6
30,1,7
31,1,5
32,1,8
33,1,6
34,1,8
35,1,8
36,1,4
37,1,9
38,1,8
39,1,6
40,1,6
41,1,6
42,1,7
43,1,12
44,1,10
45,1,7
46,1,10
47,1,5
48,1,8
49,1,7
50,1,10
51,1,6
52,1,10
53,1,9
54,1,7
55,1,6
56,1,5
57,1,8
58,1,12
59,1,9
60,1,12
61,1,5
62,1,14
63,1,5
64,1,10
65,1,6
66,1,9
67,1,10
68,1,7
69,1,11
70,1,6
71,1,12
72,1,12
73,1,8
74,1,14
75,1,9
76,1,6
77,1,8
78,1,7
79,1,11
80,1,10
81,1,10
82,1,10
83,1,9
84,1,10
85,1,11
86,1,7
87,1,7
88,1,10
89,1,12
90,1,8
91,1,9
92,1,7
93,1,10
94,1,11
95,1,8
96,1,10
97,1,11
98,1,6
99,1,11
100,1,10
101,1,10
102,1,13
103,1,7
104,1,6
105,1,9
106,1,8
107,1,7
108,1,10
109,1,7
110,1,8
111,1,13
112,1,9
113,1,8
114,1,8
115,1,7
116,1,10
117,1,9
118,1,7
119,1,11
120,1,10
121,1,9
122,1,12
123,1,6
124,1,13
125,1,11
126,1,12
127,1,12
128,1,9
129,1,11
130,1,8
131,1,9
132,1,10
133,1,11
134,1,11
135,1,10
136,1,12
137,1,9
138,1,9
139,1,9
140,1,12
141,1,7
142,1,15
143,1,13
144,1,7
1,2,5
2,2,7
3,2,5
4,2,6
5,2,6
6,2,6
7,2,7
8,2,5
9,2,4
10,2,5
11,2,7
12,2,4
13,2,7
14,2,9
15,2,10
16,2,6
17,2,4
18,2,6
19,2,5
20,2,7
21,2,5
22,2,8
23,2,4
24,2,8
25,2,5
26,2,10
27,2,3
28,2,7
29,2,6
30,2,5
31,2,5
32,2,6
33,2,4
34,2,5
35,2,6
36,2,15
37,2,6
38,2,5
39,2,7
40,2,7
41,2,10
42,2,9
43,2,13
44,2,15
45,2,5
46,2,8
47,2,9
48,2,8
49,2,12
50,2,9
51,2,6
52,2,7
53,2,11
54,2,6
55,2,9
56,2,10
57,2,9
58,2,10
59,2,11
60,2,4
61,2,6
62,2,5
63,2,6
64,2,11
65,2,6
66,2,11
67,2,10
68,2,12
69,2,4
70,2,8
71,2,13
72,2,9
73,2,6
74,2,8
75,2,8
76,2,6
77,2,10
78,2,9
79,2,5
80,2,8
81,2,9
82,2,8
83,2,6
84,2,8
85,2,10
86,2,6
87,2,11
88,2,6
89,2,5
90,2,12
91,2,8
92,2,5
93,2,8
94,2,5
95,2,4
96,2,8
97,2,5
98,2,7
99,2,8
100,2,11
101,2,5
102,2,7
103,2,11
104,2,7
105,2,6
106,2,11
107,2,5
108,2,8
109,2,7
110,2,11
111,2,9
112,2,8
113,2,6
114,2,10
115,2,4
116,2,10
117,2,4
118,2,8
119,2,15
120,2,12
121,2,12
122,2,7
123,2,7
124,2,9
125,2,5
126,2,7
127,2,7
128,2,11
129,2,12
130,2,9
131,2,10
132,2,10
133,2,8
134,2,7
135,2,7
136,2,6
137,2,11
138,2,4
139,2,5
140,2,8
141,2,8
142,2,12
143,2,6
144,2,7
1,3,7
2,3,6
3,3,8
4,3,8
5,3,12
6,3,4
7,3,9
8,3,9
9,3,10
10,3,6
11,3,9
12,3,NA
13,3,8
14,3,7
15,3,7
16,3,9
17,3,6
18,3,5
19,3,5
20,3,7
21,3,5
22,3,7
23,3,4
24,3,5
25,3,7
26,3,8
27,3,6
28,3,8
29,3,7
30,3,7
31,3,8
32,3,10
33,3,10
34,3,5
35,3,7
36,3,6
37,3,8
38,3,6
39,3,6
40,3,7
41,3,10
42,3,9
43,3,9
44,3,9
45,3,8
46,3,15
47,3,6
48,3,7
49,3,15
50,3,7
51,3,6
52,3,8
53,3,9
54,3,5
55,3,9
56,3,14
57,3,11
58,3,10
59,3,10
60,3,11
61,3,10
62,3,6
63,3,13
64,3,11
65,3,4
66,3,8
67,3,8
68,3,5
69,3,6
70,3,9
71,3,7
72,3,15
73,3,11
74,3,10
75,3,11
76,3,6
77,3,6
78,3,7
79,3,12
80,3,12
81,3,7
82,3,6
83,3,7
84,3,8
85,3,6
86,3,6
87,3,8
88,3,7
89,3,6
90,3,6
91,3,9
92,3,7
93,3,11
94,3,5
95,3,8
96,3,12
97,3,7
98,3,6
99,3,9
100,3,6
101,3,10
102,3,5
103,3,8
104,3,8
105,3,7
106,3,8
107,3,6
108,3,8
109,3,9
110,3,4
111,3,12
112,3,6
113,3,7
114,3,5
115,3,6
116,3,5
117,3,6
118,3,9
119,3,6
120,3,5
121,3,10
122,3,7
123,3,7
124,3,8
125,3,10
126,3,8
127,3,9
128,3,5
129,3,11
130,3,8
131,3,5
132,3,13
133,3,10
134,3,6
135,3,10
136,3,7
137,3,13
138,3,11
139,3,8
140,3,7
141,3,11
142,3,8
143,3,11
144,3,10
1,4,4
2,4,7
3,4,7
4,4,9
5,4,6
6,4,5
7,4,9
8,4,8
9,4,7
10,4,8
11,4,NA
12,4,7
13,4,12
14,4,6
15,4,8
16,4,7
17,4,8
18,4,6
19,4,8
20,4,6
21,4,7
22,4,6
23,4,9
24,4,5
25,4,6
26,4,7
27,4,9
28,4,9
29,4,9
30,4,10
31,4,8
32,4,9
33,4,9
34,4,7
35,4,7
36,4,4
37,4,7
38,4,8
39,4,6
40,4,7
41,4,9
42,4,14
43,4,12
44,4,7
45,4,6
46,4,12
47,4,6
48,4,5
49,4,12
50,4,10
51,4,6
52,4,9
53,4,7
54,4,7
55,4,9
56,4,9
57,4,8
58,4,7
59,4,10
60,4,5
61,4,6
62,4,7
63,4,8
64,4,11
65,4,5
66,4,8
67,4,11
68,4,8
69,4,13
70,4,11
71,4,13
72,4,11
73,4,9
74,4,7
75,4,10
76,4,8
77,4,8
78,4,7
79,4,7
80,4,8
81,4,9
82,4,7
83,4,7
84,4,8
85,4,15
86,4,8
87,4,11
88,4,8
89,4,10
90,4,7
91,4,5
92,4,9
93,4,11
94,4,8
95,4,4
96,4,12
97,4,11
98,4,5
99,4,7
100,4,9
101,4,13
102,4,6
103,4,5
104,4,7
105,4,9
106,4,8
107,4,12
108,4,6
109,4,4
110,4,5
111,4,10
112,4,6
113,4,11
114,4,8
115,4,7
116,4,14
117,4,10
118,4,6
119,4,5
120,4,6
121,4,7
122,4,9
123,4,13
124,4,6
125,4,12
126,4,13
127,4,14
128,4,11
129,4,5
130,4,13
131,4,8
132,4,7
133,4,13
134,4,8
135,4,9
136,4,14
137,4,9
138,4,4
139,4,10
140,4,8
141,4,10
142,4,11
143,4,8
144,4,9
